0;4;6;8;10;12;14;16;20;24
0;0;0;0;0;0;0;0;0;0
37.1;0;0;0;0;0;0;8.02;8.14;0
37.4;0;0;0;0;0;7.93;0;0;0
37.9;0;0;0;0;7.81;0;0;0;0
38.2;0;0;0;0;0;0;0;0;8.16
38.9;0;0;0;7.62;0;0;0;0;0
40.5;0;0;7.19;0;0;0;0;0;0
43.1;4.45;6.18;0;0;0;0;0;0;0
52;5.12;6.87;8.03;8.51;8.79;8.99;9.15;9.37;9.36
60;5.52;7.25;8.31;8.87;9.21;9.46;9.64;9.92;9.98
75;5.83;7.51;8.5;9.29;9.84;10.19;10.48;10.94;11.2
90;5.71;7.5;8.59;9.24;10.13;10.82;11.3;12.1;12.67
110;5.57;7.36;8.58;9.64;10.56;11.25;11.9;13.35;14.63
120;5.19;7.06;8.48;9.63;10.64;11.67;12.59;14.11;15.11
135;4.4;6.34;7.98;9.01;10.18;11.59;13.03;15.16;17.78
140.3;4.12;5.94;0;0;0;0;0;0;0
141.6;0;0;7.43;0;0;0;0;0;0
143.1;0;0;0;0;0;0;12.04;0;0
143.5;0;0;0;0;0;0;0;15.35;0
145.6;0;0;0;0;0;10.31;0;0;0
147.6;0;0;0;8.09;0;0;0;0;0
148.2;0;0;0;0;0;0;0;0;18.33
150;3.66;5.28;6.73;7.89;8.84;9.83;11.12;14.25;18
150.9;0;0;0;0;8.77;0;0;0;0